Source: onedrive_docs/RCM Transition Communications/HR FAQs/Q&A_ 6_5_26.xlsx

---

--- sheet: Sheet1 ---
Category	Question	Answer
Service Time	Do I lose service credit after a long break?	Breaks >1 year may not count.
Severance	Will I receive severance?	Yes if not placed via competitive recruitment; no if declining admin transfer.
Severance	Is severance capped at 26 weeks?	Yes — max 26 weeks for 26+ years of service.
Severance	Is the max severance always 26 weeks regardless of tenure?	Yes (cap defined).
Severance	What happens if tenure is less than 1 year?	One week of pay for partial year of more than 6 months full time employment at JHU; with a minimum of 4 weeks paid.
Severance	Does severance use original hire date or transfer date?	JHU current policy indicates current years of service to calculate for severance amount
Severance	How is severance calculated (weeks per year)?	Weeks per year.
Severance	Is severance paid as lump sum or installments?	Lump sum.
Severance	When does severance start?	if eligible, Severance processed after the termination date and the completed signatures on severance agreement
Severance	Does severance impact unemployment?	Unemployment outcomes are determined by the state. Contact Maryland Department of Labor for guidance on state decisions.
Severance	If you withdraw an application, are you still eligible?	If this is referring to severance, employees in the competitive recruitment process remain eligible even if they withdraw their application. This does not apply to administrative transfer scenarios.
Severance	If declining an offer due to pay, do you still get severance?	No for administrative transfer scenarios.
Severance	Can you retire and still receive severance?	Depends on scenario (eligible in competitive recruitment, not admin transfer decline).
Severance	If I have 3.5 years, am I eligible?	Yes — minimum of 4 weeks indicated.
Systems / Access	Why are Req IDs or system access not working?	Please contact the appropriate TA identified in the presentation. Contacts can be found within the resource hub link
Systems / Access	Will we retain email access?	Yes, during the transition period. If you are placed into a new role, access will continue. If your employment ends, email access will end after termination.
Tuition Benefits	What happens to tuition reimbursement in progress?	Current semester honored; future JHU eligibility ends.
Tuition Benefits	What happens to dependent tuition mid-program?	If the employee was already enrolled with the DCT program, we would have the prior entity provide a letter providing dates of eligibility to have that benefit continued for the employee under JHHS.
Tuition Benefits	Does dependent tuition eligibility carry over?	Depends on service recognition.
Tuition Benefits	Will JHHS offer tuition assistance?	Yes, Please see benefit presentation for more information
Workforce / Roles	Are revenue cycle roles remote?	Yes — expected to remain as is.  Most positions are remote. There are a few positions that are currently hybrid and a few that are onsite. They will continue their current status.
Workforce / Roles	Will roles be flexible or fixed schedule?	There are some flexible schedule options offered within the revenue cycle.
Workforce / Roles	Are there enough jobs for everyone?	We have created a significant number of opportunities within the revenue cycle, with additional roles available across the system. We cannot guarantee placement for competitive roles as they are dependent on successful completion of the competitive selection process.
Benefits / Pension	JHHS benefits indicate pension eligibility for employees hired before 2016. Since impacted employees are retaining their original hire dates, would they be eligible to participate in the pension plan?	JHHS pension plan is closed as 1/1/2026.Currentpension eligible employees will remain in pension eligible.
Communication Resources	How long does it typically take to receive approval and access to the RCM Transition Communication Link?	Please contact Amy Mantegna.
Compensation / Job Placement	If an employee believes the salary grade or compensation level offered for a position is not appropriate and declines the offer, would that impact severance eligibility?	Employees in the competitive placement group who decline a position offer are still eligible for severance.
Compensation / Job Placement	Are the jobs on the spread sheet vs the ones in the email separate from the (RCM) transformation and if we apply and decline the ones on the spreadsheet due to salary, will that effect our severance?	Employees in the competitive placement group who decline a position offer are still eligible for severance.
Compensation / Job Placement	If we apply for a position Manager or Supervisor and they offer us less than what we are making today and we decline it due to salary, will we lose our severance. I am questioning that due to cost of living may not meet that pay being offered under the supervisor vs manager.	Employees in the competitive placement group who decline a position offer are still eligible for severance.
Employment End Date	If an employee chooses not to apply for any positions, what will be their last day of employment?	Employees will receive a 30-day notification. Notifications are expected to be distributed in mid-to-late August.
Employment End Date	My notification letter references a 60-day notice period ending on August 1, while others have mentioned September. Can HR clarify the correct employment end date?	Employees will receive a 30-day notification. Notifications are expected to be distributed in mid-to-late August.
Employment End Date	The presentation referenced a transition date of August 23, which falls on a Sunday. Is this considered the final day of employment with the current employer?	The final day of employment isAugust 22.
Hiring Process	When will interviews begin for impacted employees applying for positions?	Interviews are expected to begin approximately one week after the application deadline.
Hiring Process	How quickly will employment offers be extended following interviews?	Offers will be extended as soon as the interview and selection process is complete and depend on the duration and length of the interview process.
Hiring Process	When should employees expect to be contacted regarding interview scheduling and next steps in the hiring process?	Interview scheduling notifications are expected to begin shortly after the application deadline.
Internal Job Opportunities	If impacted employees apply for positions outside of the transition-created roles but within JHHS, will those interviews and hiring decisions follow the same accelerated timeline?	No. Hiring decisions for positions outside of the PBS/RCM transition process will follow their normal recruitment timelines.
Leave of Absence / FMLA	If an employee has an approved FMLA leave and needs to utilize FMLA during the notice period, how will that impact their employment status, severance, or transition process?	Please contact Amy Mantegna for guidance specific to your situation.
Notice Period	If an employee chooses not to apply for a position, will they still receive a 30-day notice period prior to separation?	Yes.
PTO / Sick Leave	What was the rationale for not transferring accrued sick leave balances to Johns Hopkins Health System?	Please refer to the Administrative Transfer Policy for additional details. https://hr.jhu.edu/wp-content/uploads/sites/73/JHU-JHHS-Administrative-Transfer-Guidelines.pdf
Remote Work / Residency	Are there residency requirements for remote employees working for Johns Hopkins Health System, or may employees reside in another state?	Eligibility is based on current residency requirements and all impacted staff have been identified as eligible for the RCM positions.
Retirement	Who is the appropriate HR contact to assist employees who are considering retirement as part of this transition?	Please contact Amy Mantega for support. Retirement information sessions will be held on June 10 and June 16.
Retirement	If an employee chooses to retire, what will be their final day of employment?	This answer varies. Please contact Amy Mantega.
Retirement	If an employee intends to retire rather than apply for a position, when should they formally notify HR and begin the retirement process?	Please contact HR as soon as you have made a decision and before Augst 22nd.Retirement information sessions will be held on June 10 and June 16.
Retirement / Severance	Can HR provide a detailed retirement guide for impacted employees, including the steps to retire, how retirement interacts with severance eligibility, key deadlines, and the expected timeline for processing?	Additional retirement information will be provided during the retirement sessions scheduled for June 10 and June 16.
Retirement / Severance	If an employee elects to retire, will that decision impact their eligibility for severance benefits?	No. Employees impacted by the transition who retire are eligible to receive severance benefits.
RIF Notifications	When should employees expect to receive official reduction-in-force (RIF) notification letters?	RIF notification letters are expected to be distributed in mid-August.
Service Credit / Seniority	If an employee leaves JHHS for external employment but returns to JHHS within one year, will prior service time be restored for PTO accrual and other seniority-based benefits?	No. Prior service time will not be reinstated for PTO accrual or other seniority-based benefits.
Severance	Can HR provide additional details regarding the severance package, including what benefits and compensation are included?	Please refer to the HR FAQ for additional details or contact Amy Mantega
Severance	Will severance payments be issued as a lump-sum payment or distributed through regular payroll periods?	Severance will be paid as a lump-sum payment.
Severance Eligibility	If an employee applies for a position but later withdraws their application, will they remain eligible for severance?	Yes, for employees in the competitive placement group
Severance Eligibility	If an employee accepts a position outside of Johns Hopkins Health System before receiving a placement decision from JHHS, will they still be eligible for severance?	Yes, for employees in the competitive placement group
Unemployment Benefits	If an employee is not selected for a position or chooses not to apply, will there be a dedicated contact or resources available to assist with filing for unemployment benefits?	No. Filing for unemployment benefits is the responsibility of the individual employee.
